Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	132	0.95	72.711	55.084%	11.024	32.201%	0.40099	0.941
TCGA_05_5715_01A	129	0.946	69.057	53.533%	11.429	32.842%	0.35409	0.937
TCGA_38_4628_01A	138	0.77	99.134	71.836%	14.455	64.26%	0.50657	0.586
TCGA_38_6178_01A	61	0.788	50.478	82.751%	6.822	62.018%	0.70671	0.669
TCGA_44_2661_01A	45	0.632	49.947	110.993%	7.176	78.767%	1.07729	0.464
TCGA_44_2665_01A	40	0.77	41.386	103.465%	6.06	64.6%	1.00957	0.708
TCGA_44_3919_01A	48	0.697	49.312	102.733%	6.81	72.595%	0.87781	0.552
TCGA_49_4501_01A	61	0.771	55.828	91.521%	9.269	64.424%	0.74574	0.711
TCGA_49_4512_01A	45	0.665	49.449	109.887%	7.328	75.184%	0.98859	0.537
TCGA_49_AAQV_01A	69	0.824	61.163	88.642%	9.101	56.993%	0.709	0.777
TCGA_50_6591_01A	57	0.648	59.723	104.777%	8.535	77.591%	0.86779	0.468
TCGA_55_6986_01A	25	0.561	33.006	132.024%	5.439	82.944%	1.25418	0.444
TCGA_55_7816_01A	2	0.282	3.226	161.3%	1.471	104.015%	4.90413	0.26
TCGA_55_8087_01A	32	0.693	37.125	116.016%	5.859	72.119%	1.02717	0.617
TCGA_55_8619_01A	25	0.912	19.974	79.896%	3.844	45.62%	1.01574	0.905
TCGA_62_8394_01A	161	0.816	111.917	69.514%	16.498	60.363%	0.49963	0.71
TCGA_62_8397_01A	30	0.65	35.693	118.977%	5.125	77.262%	1.12671	0.529
TCGA_62_8402_01A	67	0.761	58.787	87.742%	8.79	66.07%	0.81613	0.662
TCGA_62_A46U_01A	52	0.646	58.14	111.808%	8.665	78.449%	0.97926	0.515
TCGA_62_A46Y_01A	39	0.669	43.133	110.597%	6.84	76.956%	1.19418	0.572
TCGA_67_6215_01A	119	0.37	124.928	104.982%	29.689	93.651%	1.21781	0.122
TCGA_67_6216_01A	34	0.74	33.596	98.812%	5.084	67.938%	0.97757	0.655
TCGA_71_8520_01A	95	0.758	80.45	84.684%	11.712	65.575%	0.66484	0.634
TCGA_78_7540_01A	33	0.825	29.324	88.861%	5.508	57.115%	0.9102	0.799
TCGA_86_7953_01A	55	0.679	56.165	102.118%	7.524	73.427%	0.86211	0.482
TCGA_86_8075_01A	48	0.813	47.082	98.088%	6.622	58.531%	0.85576	0.764
TCGA_86_8278_01A	123	0.961	57.54	46.78%	11.298	27.523%	0.30407	0.957
TCGA_86_8280_01A	49	0.617	54.41	111.041%	8.509	78.666%	0.95715	0.461
TCGA_86_8668_01A	41	0.765	42.474	103.595%	6.184	66.299%	1.0655	0.7
TCGA_86_8671_01A	36	0.673	38.834	107.872%	5.506	74.927%	0.97852	0.532
TCGA_86_A4P7_01A	69	0.859	51.599	74.781%	7.661	51.302%	0.5812	0.814
TCGA_91_8496_01A	38	0.707	39.89	104.974%	6.275	71.05%	0.95216	0.618
TCGA_97_8177_01A	42	0.678	45.118	107.424%	6.92	73.767%	0.95407	0.566
TCGA_97_8552_01A	51	0.517	62.885	123.304%	8.752	87.086%	1.11187	0.217
TCGA_97_A4M6_01A	38	0.602	44.726	117.7%	6.87	79.862%	1.08902	0.447
TCGA_99_8033_01A	190	0.809	125.78	66.2%	17.603	59.205%	0.37367	0.639
TCGA_J2_8192_01A	79	0.693	76.009	96.214%	10.786	73.22%	0.74799	0.526
