Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	2	0.095	3.825	191.25%	1.498	105.925%	4.54326	0.046
TCGA_44_A479_01A	14	0.624	14.815	105.821%	4.422	80.734%	1.7208	0.586
TCGA_49_4510_01A	4	0.005	7.977	199.425%	2.766	112.921%	6.16462	-0.061
TCGA_49_AARE_01A	63	0.842	44.214	70.181%	11.131	59.244%	0.8429	0.82
TCGA_49_AARN_01A	25	0.747	21.789	87.156%	5.981	69.063%	1.29704	0.717
TCGA_49_AARO_01A	8	0.667	9.228	115.35%	2.407	76.116%	1.99086	0.633
TCGA_49_AARQ_01A	12	0.661	13.839	115.325%	3.733	76.2%	1.19844	0.629
TCGA_4B_A93V_01A	8	0.564	10.246	128.075%	2.932	84.64%	2.32799	0.525
TCGA_50_8457_01A	7	0.037	13.526	193.229%	3.695	123.167%	4.31874	-0.055
TCGA_55_7910_01A	9	0.606	10.306	114.511%	2.96	82.096%	1.96073	0.567
TCGA_55_7913_01B	14	0.628	16.54	118.143%	4.186	82.094%	2.48267	0.587
TCGA_55_8508_01A	15	0.709	18.337	122.247%	4.729	70.496%	3.84438	0.687
TCGA_55_8514_01A	15	0.739	15.783	105.22%	3.828	68.753%	1.82579	0.71
TCGA_69_8253_01A	3	0.018	5.939	197.967%	1.971	113.796%	5.25092	-0.05
TCGA_69_A59K_01A	19	0.594	24.187	127.3%	5.821	86.774%	1.95217	0.546
TCGA_86_7714_01A	9	0.06	16.908	187.867%	4.905	118.964%	4.26891	-0.023
TCGA_99_8025_01A	12	0.616	16.124	134.367%	4.601	78.906%	2.02808	0.589
TCGA_99_8028_01A	12	0.557	15.46	128.833%	4.231	86.365%	1.79768	0.514
TCGA_99_AA5R_01A	2	0.84	2.459	122.95%	0.938	66.327%	0.95758	0.847
TCGA_L9_A5IP_01A	14	0.662	17.141	122.436%	4.534	75.567%	1.70694	0.632
TCGA_L9_A8F4_01A	32	0.588	38.131	119.159%	9.093	94.801%	1.88818	0.53
TCGA_NJ_A4YF_01A	21	0.841	22.164	105.543%	6.431	58.464%	1.00921	0.837
TCGA_S2_AA1A_01A	2	0.14	3.743	187.15%	1.471	104.015%	4.99882	0.094
