Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	16	0.98	7.388	46.175%	2.374	21.149%	0.58595	0.979
TCGA_38_4626_01A	3	0.576	3.948	131.6%	1.861	107.445%	2.67045	0.563
TCGA_38_4631_01A	14	0.879	15.081	107.721%	5.404	79.678%	1.8953	0.877
TCGA_38_7271_01A	1	0.001	1.999	199.9%	1.241	124.1%	7.84073	-0.017
TCGA_44_2655_01A	2	0.985	1.106	55.3%	0.608	30.4%	0.32348	0.986
TCGA_44_2657_01A	8	0.976	3.158	39.475%	1.344	21.803%	0.46529	0.976
TCGA_44_2659_01A	15	0.938	10.253	68.353%	4.584	58.692%	2.97502	0.938
TCGA_44_3396_01A	1	0.985	0.553	55.3%	0.304	30.4%	0.32348	0.986
TCGA_44_3917_01A	6	0.756	6.527	108.783%	2.931	103.626%	7.15317	0.749
TCGA_44_3918_01A	28	0.987	11.639	41.568%	3.409	17.581%	0.6971	0.987
TCGA_44_4112_01A	1	0.001	1.999	199.9%	1.24	124.0%	7.27674	-0.017
TCGA_44_5644_01A	14	0.754	19.098	136.414%	7.193	135.935%	4.84711	0.751
TCGA_44_6145_01A	7	0.95	3.86	55.143%	1.628	31.331%	0.95084	0.949
TCGA_44_6147_01A	2	0.985	1.106	55.3%	0.608	30.4%	0.32348	0.986
TCGA_44_6774_01A	6	0.71	6.776	112.933%	3.105	98.189%	1.84573	0.701
TCGA_44_6776_01A	3	0.985	1.658	55.267%	0.912	30.4%	0.32348	0.986
TCGA_44_6779_01A	2	0.7	1.986	99.3%	1.118	79.055%	2.30922	0.692
TCGA_44_7661_01A	3	0.583	3.887	129.567%	1.845	106.521%	2.62511	0.571
TCGA_44_7667_01A	10	0.618	12.096	120.96%	5.803	145.075%	1.42084	0.606
TCGA_44_7670_01A	15	0.971	8.555	57.033%	2.934	31.1%	0.72496	0.97
TCGA_44_7672_01A	3	0.57	3.989	132.967%	1.872	108.08%	3.85956	0.557
TCGA_44_8117_01A	22	0.932	17.528	79.673%	7.55	73.332%	2.3767	0.933
TCGA_44_A4SU_01A	2	0.766	1.71	85.5%	0.987	69.791%	0.78025	0.76
TCGA_49_4487_01A	6	0.958	2.917	48.617%	1.27	29.934%	0.45776	0.957
TCGA_49_4488_01A	2	0.793	1.6	80.0%	0.93	65.761%	0.62015	0.787
TCGA_49_4505_01A	2	0.699	1.988	99.4%	1.119	79.125%	2.37569	0.692
TCGA_49_4506_01A	5	0.661	5.935	118.7%	2.815	93.833%	2.52181	0.651
TCGA_49_4507_01A	5	0.489	7.21	144.2%	3.235	144.674%	2.99002	0.47
TCGA_49_6744_01A	7	0.849	6.913	98.757%	2.822	78.268%	1.91502	0.846
TCGA_49_6761_01A	2	0.007	3.973	198.65%	2.033	143.755%	5.29809	-0.019
TCGA_49_6767_01A	4	0.807	3.958	98.95%	1.736	70.872%	2.61362	0.802
TCGA_50_5051_01A	2	0.985	1.106	55.3%	0.608	30.4%	0.32348	0.986
TCGA_50_5941_01A	7	0.667	9.689	138.414%	3.856	128.533%	3.48776	0.657
TCGA_50_5942_01A	2	0.097	3.599	179.95%	1.938	137.037%	4.43908	0.074
TCGA_50_6590_01A	19	0.968	13.44	70.737%	4.122	36.292%	2.83354	0.967
TCGA_50_6592_01A	6	0.41	8.527	142.117%	4.244	134.207%	1.92419	0.39
TCGA_50_6593_01A	6	0.925	3.129	52.15%	1.718	38.416%	0.45358	0.923
TCGA_53_7624_01A	12	0.85	11.415	95.125%	4.88	81.333%	1.90823	0.847
TCGA_53_7813_01A	3	0.651	3.37	112.333%	1.699	98.092%	1.5367	0.641
TCGA_55_6970_01A	2	0.004	3.982	199.1%	2.035	143.896%	5.44873	-0.021
TCGA_55_6979_01A	2	0.985	1.106	55.3%	0.608	30.4%	0.32348	0.986
TCGA_55_6985_01A	10	0.669	13.652	136.52%	5.477	122.469%	2.35952	0.659
TCGA_55_7281_01A	5	0.891	3.988	79.76%	1.665	50.202%	8.59672	0.889
TCGA_55_7573_01A	1	0.099	1.855	185.5%	1.181	118.1%	2.62331	0.083
TCGA_55_7574_01A	4	0.985	2.211	55.275%	1.216	30.4%	0.32348	0.986
TCGA_55_7725_01A	1	0.008	1.989	198.9%	1.236	123.6%	5.16952	-0.01
TCGA_55_7728_01A	2	0.699	1.988	99.4%	1.119	79.125%	2.35745	0.692
TCGA_55_7911_01A	4	0.556	5.257	131.425%	2.47	123.5%	1.74338	0.541
TCGA_55_7914_01A	4	0.853	3.292	82.3%	1.532	62.544%	0.81177	0.85
TCGA_55_7995_01A	3	0.881	2.0	66.667%	1.083	48.433%	12.91885	0.878
TCGA_55_8096_01A	7	0.942	4.282	61.171%	1.79	41.065%	0.6907	0.941
TCGA_55_8203_01A	7	0.893	5.271	75.3%	2.515	69.754%	0.67859	0.892
TCGA_55_8208_01A	4	0.547	5.354	133.85%	2.49	124.5%	2.11467	0.533
TCGA_55_8299_01A	5	0.752	5.866	117.32%	2.426	91.694%	2.05675	0.744
TCGA_55_8506_01A	17	0.941	13.35	78.529%	5.238	60.483%	1.11368	0.941
TCGA_55_8510_01A	7	0.706	8.465	120.929%	3.694	123.133%	6.90195	0.699
TCGA_55_8511_01A	10	0.835	9.839	98.39%	4.226	86.263%	2.04113	0.832
TCGA_55_8616_01A	16	0.912	15.255	95.344%	5.667	73.161%	1.86307	0.912
TCGA_55_A48X_01A	18	0.935	17.236	95.756%	6.008	69.842%	5.11833	0.936
TCGA_55_A492_01A	3	0.006	5.969	198.967%	3.13	139.978%	6.52004	-0.018
TCGA_55_A493_01A	7	0.704	8.535	121.929%	3.704	123.467%	3.28426	0.696
TCGA_55_A494_01A	5	0.5	7.029	140.58%	3.207	143.421%	2.06012	0.482
TCGA_62_A46O_01A	18	0.985	7.797	43.317%	2.416	19.727%	2.60975	0.985
TCGA_62_A46R_01A	1	0.099	1.855	185.5%	1.181	118.1%	2.62331	0.083
TCGA_64_1679_01A	6	0.707	7.729	128.817%	3.129	110.627%	2.54615	0.699
TCGA_64_5781_01A	12	0.734	13.513	112.608%	6.244	133.123%	4.1819	0.729
TCGA_67_3770_01A	3	0.626	3.564	118.8%	1.755	101.325%	2.87351	0.615
