Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_A479_01A	9	0.959	7.444	82.711%	2.399	38.415%	0.6826	0.96
TCGA_49_AARE_01A	14	0.929	10.649	76.064%	2.958	37.567%	0.67896	0.926
TCGA_49_AARN_01A	8	0.799	7.622	95.275%	2.597	61.212%	0.87596	0.789
TCGA_49_AARO_01A	15	0.975	9.497	63.313%	2.76	29.59%	0.49137	0.975
TCGA_49_AARQ_01A	13	0.938	8.746	67.277%	2.27	34.617%	0.70201	0.935
TCGA_4B_A93V_01A	3	0.66	3.458	115.267%	1.339	77.307%	1.44249	0.644
TCGA_55_7913_01B	5	0.892	4.917	98.34%	1.589	47.91%	1.14094	0.89
TCGA_55_8508_01A	7	0.867	6.248	89.257%	1.816	50.367%	1.02849	0.86
TCGA_55_8514_01A	5	0.103	9.117	182.34%	3.401	128.546%	2.49265	0.056
TCGA_69_A59K_01A	9	0.918	6.68	74.222%	1.829	39.912%	0.74403	0.913
TCGA_86_7714_01A	1	0.956	1.072	107.2%	0.554	55.4%	0.76765	0.962
TCGA_99_8025_01A	7	0.873	6.115	87.357%	1.779	49.341%	0.99439	0.866
TCGA_99_8028_01A	7	0.98	5.405	77.214%	1.989	38.278%	0.49255	0.982
TCGA_99_AA5R_01A	2	0.7	2.078	103.9%	1.01	71.418%	1.74613	0.69
TCGA_L9_A5IP_01A	4	0.577	5.235	130.875%	1.814	90.7%	1.73749	0.553
TCGA_L9_A8F4_01A	13	0.942	8.691	66.854%	2.26	33.69%	0.59146	0.939
TCGA_NJ_A4YF_01A	9	0.852	8.223	91.367%	2.289	59.102%	0.80604	0.843
TCGA_S2_AA1A_01A	5	0.822	4.724	94.48%	1.527	57.715%	0.99519	0.813
