Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4628_01A	1	1.0	0.017	1.7%	0.009	0.9%	0.00839	1.0
TCGA_49_AAQV_01A	1	0.989	0.411	41.1%	0.237	23.7%	0.23022	0.989
TCGA_50_6591_01A	2	0.989	0.342	17.1%	0.209	14.779%	0.03787	0.989
TCGA_62_8394_01A	1	1.0	0.017	1.7%	0.009	0.9%	0.00839	1.0
TCGA_62_8397_01A	1	1.0	0.019	1.9%	0.01	1.0%	0.00938	1.0
TCGA_86_7953_01A	1	1.0	0.017	1.7%	0.009	0.9%	0.00839	1.0
TCGA_86_8278_01A	1	1.0	0.017	1.7%	0.009	0.9%	0.00839	1.0
TCGA_86_8280_01A	1	0.998	0.186	18.6%	0.11	11.0%	0.09788	0.998
TCGA_97_8552_01A	1	0.998	0.25	25.0%	0.137	13.7%	0.13335	0.998
TCGA_99_8033_01A	5	0.994	0.691	13.82%	0.36	10.854%	0.06002	0.994
