Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_A479_01A	9	0.97	6.186	68.733%	2.015	32.266%	0.56507	0.971
TCGA_49_AARE_01A	14	0.959	9.441	67.436%	2.445	31.052%	0.53825	0.958
TCGA_49_AARN_01A	8	0.872	6.844	85.55%	2.216	52.232%	0.72141	0.868
TCGA_49_AARO_01A	15	0.982	7.849	52.327%	2.108	22.6%	0.41533	0.982
TCGA_49_AARQ_01A	13	0.953	8.039	61.838%	1.991	30.362%	0.5573	0.95
TCGA_4B_A93V_01A	3	0.738	2.917	97.233%	1.195	68.993%	1.09466	0.726
TCGA_55_7913_01B	5	0.902	4.358	87.16%	1.466	44.202%	1.04923	0.899
TCGA_55_8508_01A	7	0.892	5.576	79.657%	1.675	46.456%	0.84465	0.886
TCGA_55_8514_01A	5	0.603	6.906	138.12%	2.116	79.977%	1.21562	0.577
TCGA_69_A59K_01A	9	0.946	5.086	56.511%	1.513	33.016%	0.4777	0.943
TCGA_86_7714_01A	1	0.97	0.904	90.4%	0.472	47.2%	0.6019	0.973
TCGA_99_8025_01A	7	0.897	4.988	71.257%	1.631	45.236%	0.82709	0.891
TCGA_99_8028_01A	7	0.985	4.615	65.929%	1.596	30.715%	0.4178	0.987
TCGA_99_AA5R_01A	2	0.705	1.932	96.6%	1.005	71.064%	1.68013	0.695
TCGA_L9_A5IP_01A	4	0.633	4.828	120.7%	1.584	79.2%	1.46619	0.609
TCGA_L9_A8F4_01A	13	0.976	5.18	39.846%	1.468	21.884%	0.33079	0.975
TCGA_NJ_A4YF_01A	9	0.898	6.853	76.144%	1.732	44.72%	0.63671	0.89
TCGA_S2_AA1A_01A	5	0.881	3.54	70.8%	1.27	48.001%	0.73065	0.875
